,Model,Depth,Width,Height,Cluster,Max_Depth,Max_Width,Max_Height,Volume_Difference_Percentage,Average_Volume_Diff_Percentage
89,RISH Xmer 100/130V(45),65,100,170.0,21,65,140,185.0,34.36,22.91
90,RISH Xmer 140/130V(45),65,140,185.0,21,65,140,185.0,0.0,22.91
91,,,,,,,,,,
92,RISH 1P RJ12 50-30(30),46,51,93.0,22,46,74,98.0,34.6,10.28
93,RISH Xmer 74/20P(45),45,74,98.0,22,46,74,98.0,2.17,10.28
94,RISH Xmer 74/20(45),45,74,98.0,22,46,74,98.0,2.17,10.28
95,RISH 1P RJ12 50-21(30),46,51,93.0,22,46,74,98.0,34.6,10.28
96,RISH Xmer 74/50(45),45,74,98.0,22,46,74,98.0,2.17,10.28
97,RISH Xmer 74/40(45),45,74,98.0,22,46,74,98.0,2.17,10.28
98,RISH Xmer 74/30(45),45,74,98.0,22,46,74,98.0,2.17,10.28
99,RISH Xmer 74/W,45,74,98.0,22,46,74,98.0,2.17,10.28
100,,,,,,,,,,
